id,year,region_id,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
46,2000,8,E12000003,31575.08,19619.85,240615199.2,203824779.4,18860698964,262209538.3,2747798334,1827811531,23902343146
47,2008,9,E12000008,47305.69,29394.39,473384689.6,534880950.5,42537271996,368687291,6844567748,2552289778,52837697764
48,1999,2,E12000004,31041.26,19288.14,205361379.5,199429596.2,18420940245,208732561.8,2583553023,1978899096,23391554523
49,2006,1,E12000009,49943.19,31033.26,263444279,395098242.9,24720042151,288056794.3,3940601073,1518413869,30862212130
50,1997,10,E12000005,32075.805,19930.98,198114625.6,183600253.9,22186443325,330423806.8,2951826717,1880382320,27532676423
51,2007,6,E12000007,14783.53,9186.06,336719859.6,539610407.5,15136619678,384344878.5,2654205178,645376391.5,19360156533
52,1995,6,E12000007,14417.874,8958.85,283281209,359949252,16003118474,303703016.9,2086965123,608710580.8,19362446447
53,2017,8,E12000003,32098.99,19945.39,323542883,229230563.4,23035061392,218193376,4684069899,1833503392,30000058622
54,1995,4,W92000004,32659.169,20293.47,83139566.18,104685990.7,11739451842,164295355.1,1556258026,763943495.6,14328634710
55,1996,9,E12000008,46864.665,29120.35,438141248.9,414554063.6,39510513535,404139843.9,4777965428,2220283768,47327456639
56,2016,3,S92000003,59365.02,36887.71,179149276.8,181354115.4,22048638485,344722839.4,4676755994,1584645553,28836116987
57,2012,4,W92000004,33856.61598,21037.53,99689370.69,143761585.8,13591147102,151334563.9,2443088910,671352171.7,17000684333
58,1994,7,E12000006,38777.587,24095.28,366148309.5,268676137.6,23537303323,254374608.5,3109361096,1790326631,28960041795
59,2002,3,S92000003,59404.67,36912.35,155307739.8,181452660.4,20584034229,391215203.7,3000118029,1496353858,25653173980
60,2010,9,E12000008,47553.8,29548.56,498372708.4,499097628.6,41658047160,360251636.7,6878042317,2332661148,51728099890
61,2006,7,E12000006,39799.53,24730.28,416931648.3,351450429.3,27037603775,303814457.3,4596893646,2161678153,34451440460
62,2014,11,E12000001,16239.45,10090.73,99832119.27,72722265.63,9680137601,158044713.8,1693245155,437937919,12042087654
63,1998,8,E12000003,31429.004,19529.08,228602175.8,180781356.9,18646587370,259396920.7,2679007583,1843439504,23609212734
64,1995,3,S92000003,58753.68,36507.84,149239352.8,126341853.6,18421096875,350926553.3,2380908404,1398071650,22677345336
65,2019,6,E12000007,14814.849,9205.52,403724392.8,558333109.3,17471458929,290449168.3,3673553062,617167148.5,22610961417
66,2004,1,E12000009,49299.24,30633.13,237770221.1,394188098.3,23888407044,271754814.6,3641023564,1542438950,29737812471
67,2019,4,W92000004,33838.074,21026,120757996.1,157878925.2,15617190420,133382502.3,3325161599,719938370.3,19953551817
68,1997,11,E12000001,15948.072,9909.67,88394688.77,58813358.73,9159385407,193211970.8,1166127998,497566410.9,11075105146
69,2018,1,E12000009,50315.5022,31264.6,368243216.5,328549850.1,27683350976,220874347,5469869137,1445834573,35148478883
70,2011,2,E12000004,31310.9,19455.69,259888058,221753929.3,19960312827,190513271.4,3462068124,1781557010,25616205162
71,1994,2,E12000004,30736.201,19098.59,199505914.8,172951660.4,16544613554,189744572.3,2164980880,1694320700,20766611367
