id,year,region_id,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
229,2008,11,E12000001,16194.807,10062.99,84943320.35,79256588.15,9317126598,171006014.4,1531466572,496089844.8,11594945617
230,2012,1,E12000009,49976.69701,31054.08,312484085.8,377175608.7,24545663867,238928335.3,4280442588,1305608546,30747818946
231,2020,5,E12000002,37350.804,23208.71,447355070.1,184276490.5,24616353185,131208367.4,5543101041,1861357307,32336296391
232,2013,8,E12000003,32049.13624,19914.41,287019757.5,217479630.3,20478614117,237977225.4,3869725902,1680334493,26484131368
233,2016,1,E12000009,50271.54,31237.29,309646784.7,369902747.3,26646169712,231492409.4,5270828631,1415955032,33934348531
234,2003,5,E12000002,36777.8175,22852.68,267414745.4,296156873.4,27344998807,360604033.8,3748127431,2134353538,33884240683
235,2018,9,E12000008,48243.3466,29977.03,556638363.8,471847367.4,45167955032,283517676.2,8746040970,2482417283,57151778329
236,2008,4,W92000004,33858.24,21038.53,87811520.17,151019103.1,13799329558,173441008.7,2401200512,796019391.5,17321009573
237,2017,6,E12000007,14842.02,9222.4,432635033.7,505459612.9,16366546422,332057727.1,3510494551,617241849.6,21331800163
238,2019,11,E12000001,16401.987,10191.72,89448249.27,76975675.18,11045737713,164356148,1972067883,448746924.8,13707884343
239,1993,10,E12000005,31813.532,19768.01,195703289.7,177431175.7,20484231520,298633040.5,2528714364,1703294581,25192304681
240,2009,2,E12000004,31286.8,19440.72,249834663.5,239873307.8,19897495809,205672224.6,3426935379,1811346861,25581323582
241,2006,9,E12000008,47407.99,29457.96,464874711.3,548478454.9,43093871554,408994015.2,6594804614,2613263549,53259412188
242,2010,10,E12000005,32830.9,20400.18,222862808.7,211649281.4,23414127771,308966386.7,3976790626,1773393833,29684927898
243,2006,3,S92000003,59499.1,36971.03,161673838.7,187607418.3,21416483658,378268481.3,3579928553,1690550570,27252838680
244,2008,6,E12000007,14795.8,9193.68,352374675.6,466636713.4,14836829790,369623179.9,2486192753,651506030.9,18810788467
245,2004,7,E12000006,39188.75,24350.76,384319404.7,351707594.9,26891840631,297412084.1,4296195052,2216723298,34053878660
246,2001,8,E12000003,31636.18,19657.81,244983815.1,213716050.3,19163317515,260031299.4,2842788609,1805128717,24284982191
247,1993,11,E12000001,15820.273,9830.26,85526572.94,55061114.34,8536911397,174102238.6,1021849908,474333655.8,10262258315
248,1995,2,E12000004,30801.36,19139.08,205897094.7,171983022.3,16857405238,200810095.9,2217852663,1750890937,21198941956
249,2015,5,E12000002,37031.76,23010.47,293661365,244017387.1,29203876268,304399413.7,5248512307,1915503482,36916308859
250,2008,8,E12000003,32095.57,19943.26,261271350.9,232864285.6,20208266995,254322503.6,3654653157,1857981172,26208088114
251,2014,1,E12000009,50096.5,31128.52,357670083.5,377832987.3,25500988791,258929003.6,4736905231,1352819256,32227475269
252,2007,11,E12000001,16195.91,10063.67,77146372.11,85776336.7,9494075175,184988761.5,1542119732,499401412.1,11806361417
253,2003,4,W92000004,33131.6035,20587.02,83762606.07,154593208.2,13264498627,178908118.5,2034134352,769185192,16401319498
254,2012,10,E12000005,32889.55568,20436.62,232094169.2,211873315.1,24123088788,263772195.7,4014291593,1744577924,30357603816
255,2020,9,E12000008,48547.765,30166.18,875715889.2,380789606.4,33732428085,170067213.9,8123997027,2304593961,44711875892
256,1994,3,S92000003,58626.157,36428.61,146069998.7,126754235.9,18070663821,332456359.9,2327618500,1365804379,22223297296
257,2002,7,E12000006,39351.1,24451.64,406895216.1,357787976.2,26516365634,300483800.3,3923793261,2143199624,33241630296
258,1998,10,E12000005,32140.707,19971.31,191848693.6,190219413,22492845927,333906079.7,3122091568,1916147264,28055210252
259,2004,2,E12000004,30790.35,19132.24,209433732.2,242080505.1,19708914554,211532098.2,3185191023,2057394235,25405112416
260,2011,9,E12000008,47614.7,29586.4,513420897.6,506186623.9,42110875324,336028825.4,6961452430,2277735065,52192278269
261,2011,3,S92000003,59288.01,36839.86,189437668.5,183699541.9,20867692493,376805033.1,3810256999,1543293457,26781747523
262,2003,6,E12000007,14712.919,9142.18,322896279.5,521178529.1,15945187831,353314332.5,2364957302,665482432.2,19850120427
263,1996,8,E12000003,31284.912,19439.54,234883902.4,168483384.5,18047132778,254842040.6,2435049001,1775107922,22680615126
264,1994,9,E12000008,46682.721,29007.3,432100729.9,414023296.4,37566604181,369829829.4,4446045988,2088461842,44884965137
265,2016,7,E12000006,40013.08,24862.98,470653319.1,312855427.1,29525846672,224477478.4,5994176326,2110028381,38167384284
266,1998,11,E12000001,15979.799,9929.39,85636843.96,60961278.01,9250947164,196744715.9,1223889549,501705968.4,11234248676
267,2002,1,E12000009,49543.7,30785.03,247260216.4,385659334.4,23385280788,278004523.7,3250593670,1534495004,28834033320
268,2017,4,W92000004,33859.42,21039.27,103574125.5,166937956.8,14999566148,140919513.1,3134721859,721940192.3,19164085669
269,2010,5,E12000002,36960.5,22966.19,279626637,240090269.4,27376749494,345397616.1,4181190196,2075658043,34219085619
270,2003,8,E12000003,31762.0915,19736.05,258866206.9,252105669.4,19659736635,269254098.4,3107377339,1828001985,25116475727
271,2009,1,E12000009,49935.7,31028.61,293654879.1,414618880.4,24807993168,284012908,4154967576,1366823707,31028416239
272,2016,2,E12000004,31618.53,19646.84,246804028,200218933.1,21617687138,169697671.7,4286939710,1940063307,28214606760
273,2020,8,E12000003,32094.536,19942.62,561788030.6,179291929.8,18743190240,130041957.3,4487615981,1839755357,25379895465
274,1998,4,W92000004,32824.868,20396.43,78149966.69,113876934.9,12320639016,171549751.9,1768169400,845044067,15219279170
275,2012,11,E12000001,16198.58909,10065.34,94028857.38,72474318.58,9406591053,149770171.9,1542836219,433028623.7,11604700386
276,2017,10,E12000005,33195.8,20626.91,208244680.1,192308033.9,26187041140,228097522,4853186126,2007575276,33468208098
277,2013,3,S92000003,59474.19008,36955.55,204556056,179026455.1,21032726847,375061306.7,3944241779,1548392219,27079448607
278,1997,7,E12000006,39004.89,24236.52,370935839.1,280611217.4,25046543754,281992248.4,3545290753,1918002080,31072440053
279,2000,11,E12000001,16047.7,9971.58,89576273.83,73554326.88,9344539281,191076796,1209167406,527881878.3,11346219689
280,1999,3,S92000003,59165.47,36763.72,147840874.3,150063903.1,19628536676,380833666.4,2893847600,1510818883,24564100729
281,2015,4,W92000004,33881.01,21052.68,112733969.4,149930542.8,14604857588,151815145.9,2848260677,692921110.4,18447785064
282,2002,2,E12000004,31207.26,19391.29,221729277.2,233274473,19179735698,206783184,2845945414,1966539779,24432278548
283,2015,6,E12000007,14796.15,9193.9,375044947.8,433875632.4,15902235039,347806354.7,2911512722,668815094,20264244842
284,2000,10,E12000005,32274.69,20054.56,201074843.4,210801211.9,22685334926,323347423.4,3188262625,1949954284,28357700471
285,1994,8,E12000003,31159.422,19361.57,231624520.3,169915991.2,17218394983,235813371.8,2294339207,1657803947,21576267500
286,1998,6,E12000007,14522.653,9023.96,274373262,406487340.8,16283308786,317414928.1,2113837704,698617266.4,19819666025
287,1999,9,E12000008,47199.28,29328.27,440334343.7,508367915.7,41912975967,429732174.1,5340734388,2462960288,50654770733
288,2011,7,E12000006,39632,24626.18,456283739.8,321618681.4,26797343435,255681782.6,4915125360,1930151004,34219920263
289,2001,5,E12000002,36616.81,22752.63,261353698.3,252848005.7,26846142918,359647794.1,3484538759,2122257859,33065435337
290,1997,1,E12000009,49108.696,30514.73,229095674.4,304857936.5,21352984356,273443235.9,2769586195,1448165049,26149036773
291,1996,6,E12000007,14447.847,8977.48,290086737.2,375007351.4,16161496041,309645522,2055511726,647228258.2,19548888898
292,2019,10,E12000005,33293.486,20687.61,219699377.6,183423800.5,26849282606,171052588.1,5043574413,2012023551,34259356959
293,2008,5,E12000002,36901.15,22929.31,263484636.6,252119926,27511815377,326402707.1,4237863258,2202561366,34530762634
294,2015,8,E12000003,32017.97,19895.04,292991409.6,228560563.9,21755737197,235198959.4,4348120111,1801935622,28369552454
295,2013,9,E12000008,47790.02773,29695.35,519802697.6,473512905.2,42118190491,325017815.6,7205873877,2224792044,52347387133
296,1996,4,W92000004,32706.624,20322.95,81179157.47,103760429.1,12008115067,168486866.1,1604256907,803202594.3,14687821863
297,2018,3,S92000003,59300.6707,36847.73,194511732.3,194830019.3,22605967265,310380261,5010859726,1617879183,29739916455
298,2010,4,W92000004,33835.7,21024.53,95744380.33,136920811,13441066776,174460759.8,2418436235,713214618.8,16884099200
299,1995,1,E12000009,48937.867,30408.58,233854438.8,294136697.3,20585301770,257913190.1,2532678029,1360453819,25030483506
300,2005,11,E12000001,15840.17,9842.63,84846232.34,83628535.51,9443657831,182233414.1,1415063563,508265564.4,11632848908
301,2004,3,S92000003,56715.17,35241.17,143955018.5,192153856.1,20923742984,368211748.4,3282657133,1625114080,26391879801
302,2001,9,E12000008,47399.18,29452.48,451169680.4,538409493.9,42507001875,419231435.5,5610989738,2554838273,51630470816
303,2014,2,E12000004,31445.2,19539.14,298365031.9,219967251.8,20727376249,191591736.6,3864897703,1836281905,26840114845
304,1997,2,E12000004,30920.428,19213.06,203536564.6,178349249.8,17674427564,210632450.2,2445476521,1846694859,22355580644
305,2010,6,E12000007,14819.1,9208.16,363403671.3,442284153.7,15348108892,377459057.9,2453383816,628321986.2,19249557906
306,2005,10,E12000005,32439.25,20156.82,201104641.5,241325722.3,23637561216,318963925.7,3764128632,1953848466,29915827962
307,2009,7,E12000006,39605.2,24609.53,439492917,346943778.4,27080158638,283664978.5,4801817681,1955460842,34468045918
308,1996,5,E12000002,36177.479,22479.64,254875853.1,191845675,25176735438,365392293.4,3101807405,1984967296,30820748107
